EventId|EventTimeStamp|SCADA_Category|AOR|Priority_Code|Substation|DeviceType|event_message
1|2017-05-7 3:7:48|Power Outage|ESA_4373|2|Substation239|Transformer|Event 1 occurred at 2017-05-7 3:7:48 - Power Outage detected.
2|2017-05-13 0:16:22|Overload|NWT_7924|8|Substation250|Transformer|Event 2 occurred at 2017-05-13 0:16:22 - Overload detected.
3|2017-05-23 17:51:44|Equipment Failure|NOS_5727|5|Substation598|Generator|Event 3 occurred at 2017-05-23 17:51:44 - Equipment Failure detected.
4|2017-05-26 12:53:12|Power Outage|SAA_7604|8|Substation670|Transformer|Event 4 occurred at 2017-05-26 12:53:12 - Power Outage detected.
5|2017-05-28 19:23:48|Power Outage|BHH_8698|4|Substation805|Circuit Breaker|Event 5 occurred at 2017-05-28 19:23:48 - Power Outage detected.
6|2017-05-7 7:21:31|Voltage Fluctuation|DGB_7979|6|Substation180|Circuit Breaker|Event 6 occurred at 2017-05-7 7:21:31 - Voltage Fluctuation detected.
7|2017-05-11 8:54:4|Equipment Failure|YCE_0670|3|Substation338|Switchgear|Event 7 occurred at 2017-05-11 8:54:4 - Equipment Failure detected.
8|2017-05-25 8:33:8|Equipment Failure|HZY_0799|3|Substation713|Transformer|Event 8 occurred at 2017-05-25 8:33:8 - Equipment Failure detected.
9|2017-05-4 11:49:10|Equipment Failure|BHH_8698|3|Substation399|Transformer|Event 9 occurred at 2017-05-4 11:49:10 - Equipment Failure detected.
10|2017-05-8 9:0:28|Voltage Fluctuation|VGW_0374|8|Substation758|Transformer|Event 10 occurred at 2017-05-8 9:0:28 - Voltage Fluctuation detected.
11|2017-05-30 7:44:32|Voltage Fluctuation|ZZK_5940|2|Substation539|Switchgear|Event 11 occurred at 2017-05-30 7:44:32 - Voltage Fluctuation detected.
12|2017-05-31 14:50:52|Equipment Failure|DPH_2341|7|Substation593|Switchgear|Event 12 occurred at 2017-05-31 14:50:52 - Equipment Failure detected.
13|2017-05-21 5:15:28|Power Outage|PSC_1349|2|Substation435|Transformer|Event 13 occurred at 2017-05-21 5:15:28 - Power Outage detected.
14|2017-05-27 5:3:55|Voltage Fluctuation|EGG_1599|6|Substation748|Circuit Breaker|Event 14 occurred at 2017-05-27 5:3:55 - Voltage Fluctuation detected.
15|2017-05-29 11:16:50|Voltage Fluctuation|UOQ_2955|5|Substation292|Transformer|Event 15 occurred at 2017-05-29 11:16:50 - Voltage Fluctuation detected.
16|2017-05-6 2:0:45|Voltage Fluctuation|LAV_6220|3|Substation222|Transformer|Event 16 occurred at 2017-05-6 2:0:45 - Voltage Fluctuation detected.
17|2017-05-31 15:44:17|Power Outage|SWS_3719|3|Substation986|Generator|Event 17 occurred at 2017-05-31 15:44:17 - Power Outage detected.
18|2017-05-5 6:6:35|Voltage Fluctuation|VGX_9960|8|Substation272|Transformer|Event 18 occurred at 2017-05-5 6:6:35 - Voltage Fluctuation detected.
19|2017-05-29 14:17:0|Equipment Failure|ZMC_0632|3|Substation367|Circuit Breaker|Event 19 occurred at 2017-05-29 14:17:0 - Equipment Failure detected.
20|2017-05-1 6:2:53|Power Outage|BBU_4185|8|Substation676|Generator|Event 20 occurred at 2017-05-1 6:2:53 - Power Outage detected.
21|2017-05-29 15:16:14|Voltage Fluctuation|BVM_3234|8|Substation652|Circuit Breaker|Event 21 occurred at 2017-05-29 15:16:14 - Voltage Fluctuation detected.
22|2017-05-6 11:1:28|Power Outage|KGI_6843|7|Substation153|Switchgear|Event 22 occurred at 2017-05-6 11:1:28 - Power Outage detected.
23|2017-05-26 6:14:20|Overload|ZSP_7519|2|Substation240|Generator|Event 23 occurred at 2017-05-26 6:14:20 - Overload detected.
24|2017-05-23 4:39:40|Power Outage|VYV_2253|4|Substation962|Generator|Event 24 occurred at 2017-05-23 4:39:40 - Power Outage detected.
25|2017-05-24 8:34:13|Equipment Failure|KBU_9918|4|Substation384|Generator|Event 25 occurred at 2017-05-24 8:34:13 - Equipment Failure detected.
26|2017-05-23 22:21:43|Power Outage|WUO_2073|5|Substation697|Switchgear|Event 26 occurred at 2017-05-23 22:21:43 - Power Outage detected.
27|2017-05-19 9:24:17|Voltage Fluctuation|DZH_7915|5|Substation585|Transformer|Event 27 occurred at 2017-05-19 9:24:17 - Voltage Fluctuation detected.
28|2017-05-11 21:4:11|Voltage Fluctuation|NJA_5384|4|Substation955|Generator|Event 28 occurred at 2017-05-11 21:4:11 - Voltage Fluctuation detected.
29|2017-05-19 9:11:7|Equipment Failure|ESV_4435|5|Substation939|Circuit Breaker|Event 29 occurred at 2017-05-19 9:11:7 - Equipment Failure detected.
